id,width,depth,height,weight,value,allowedRotations
I0000,6,2,8,1,0.5,012345
I0001,6,2,8,1,0.5,012345
I0002,6,2,8,1,0.5,012345
I0003,6,2,8,1,0.5,012345
I0004,6,2,8,1,0.5,012345
I0005,6,2,8,1,0.5,012345
I0006,6,2,8,1,0.5,012345
I0007,6,2,8,1,0.5,012345
I0008,6,2,8,1,0.5,012345
I0009,6,2,8,1,0.5,012345
I0010,6,2,8,1,0.5,012345
I0011,6,2,8,1,0.5,012345
I0012,6,2,8,1,0.5,012345
I0013,6,2,8,1,0.5,012345
I0014,6,2,8,1,0.5,012345
I0015,6,2,8,1,0.5,012345
I0016,6,2,8,1,0.5,012345
I0017,6,2,8,1,0.5,012345
I0018,6,2,8,1,0.5,012345
I0019,6,2,8,1,0.5,012345
I0020,4,8,10,1,1.5,012345
I0021,4,8,10,1,1.5,012345
I0022,4,8,10,1,1.5,012345
I0023,4,8,10,1,1.5,012345
I0024,4,8,10,1,1.5,012345
I0025,4,8,10,1,1.5,012345
I0026,4,8,10,1,1.5,012345
I0027,4,8,10,1,1.5,012345
I0028,4,8,10,1,1.5,012345
I0029,4,8,10,1,1.5,012345
I0030,4,8,10,1,1.5,012345
I0031,4,8,10,1,1.5,012345
I0032,4,8,10,1,1.5,012345
I0033,4,8,10,1,1.5,012345
I0034,4,8,10,1,1.5,012345
I0035,4,8,10,1,1.5,012345
I0036,4,8,10,1,1.5,012345
I0037,4,8,10,1,1.5,012345
I0038,4,8,10,1,1.5,012345
I0039,4,8,10,1,1.5,012345
I0040,4,8,10,1,1.5,012345
I0041,4,8,10,1,1.5,012345
I0042,4,8,10,1,1.5,012345
I0043,4,8,10,1,1.5,012345
I0044,4,8,10,1,1.5,012345
I0045,4,8,10,1,1.5,012345
I0046,4,8,10,1,1.5,012345
I0047,4,8,10,1,1.5,012345
I0048,4,8,10,1,1.5,012345
I0049,4,8,10,1,1.5,012345
I0050,4,8,10,1,1.5,012345
I0051,4,8,10,1,1.5,012345
I0052,4,8,10,1,1.5,012345
I0053,4,8,10,1,1.5,012345
I0054,4,8,10,1,1.5,012345
I0055,4,8,10,1,1.5,012345
I0056,4,8,10,1,1.5,012345
I0057,4,8,10,1,1.5,012345
I0058,4,8,10,1,1.5,012345
I0059,4,8,10,1,1.5,012345
I0060,4,8,10,1,1.5,012345
I0061,4,8,10,1,1.5,012345
I0062,4,8,10,1,1.5,012345
I0063,4,8,10,1,1.5,012345
I0064,4,8,10,1,1.5,012345
I0065,4,8,10,1,1.5,012345
I0066,4,8,10,1,1.5,012345
I0067,4,8,10,1,1.5,012345
I0068,4,8,10,1,1.5,012345
I0069,4,8,10,1,1.5,012345
